z,bits,n
3.75,4096,897
3.75,5120,1065
3.75,6144,1226
3.75,7168,1383
3.75,8192,1535
4,128,100
4,160,112
4,192,123
4,224,134
4,256,144
4,320,165
4,384,182
4,448,200
4,512,217
4,640,250
4,768,283
4,896,312
4,1024,341
4,1280,398
4,1536,452
4,1792,504
4,2048,555
4,2560,652
4,3072,746
4,3584,837
4,4096,926
4,5120,1097
4,6144,1262
4,7168,1422
4,8192,1579
4.25,128,108
4.25,160,119
4.25,192,130
4.25,224,143
4.25,256,152
4.25,320,172
4.25,384,191
4.25,448,209
4.25,512,229
4.25,640,261
4.25,768,295
4.25,896,325
4.25,1024,355
4.25,1280,413
4.25,1536,469
4.25,1792,523
4.25,2048,574
4.25,2560,674
4.25,3072,770
4.25,3584,864
4.25,4096,954
4.25,5120,1129
4.25,6144,1298
4.25,7168,1462
4.25,8192,1621
4.5,128,114
4.5,160,126
4.5,192,138
4.5,224,149
4.5,256,162
4.5,320,181
4.5,384,201
4.5,448,220
4.5,512,238
4.5,640,273
4.5,768,307
4.5,896,338
4.5,1024,369
4.5,1280,429
4.5,1536,486
4.5,1792,541
4.5,2048,594
4.5,2560,696
4.5,3072,795
4.5,3584,890
4.5,4096,983
4.5,5120,1161
4.5,6144,1333
4.5,7168,1501
4.5,8192,1663
4.75,128,122
4.75,160,134
4.75,192,147
4.75,224,158
4.75,256,170
4.75,320,190
4.75,384,210
4.75,448,230
4.75,512,249
4.75,640,285
4.75,768,319
4.75,896,352
4.75,1024,384
4.75,1280,445
4.75,1536,503
4.75,1792,559
4.75,2048,613
4.75,2560,718
4.75,3072,819
4.75,3584,916
4.75,4096,1011
4.75,5120,1193
4.75,6144,1369
4.75,7168,1539
4.75,8192,1706
5,128,129
5,160,142
5,192,155
5,224,166
5,256,178
5,320,200
5,384,221
5,448,240
5,512,260
5,640,297
5,768,331
5,896,366
5,1024,399
5,1280,460
5,1536,520
5,1792,577
5,2048,633
5,2560,740
5,3072,843
5,3584,942
5,4096,1039
5,5120,1226
5,6144,1404
5,7168,1578
5,8192,1746
5.25,128,137
