z,y_true,y_approx,mp_error,double_error
5.90703125E-05,5.2349701480229919430193761237108249e-5,5.234970148022991E-05,8.5765058810137466316241493062510989e-21,6.776263578034403E-21
6.00703125E-05,5.3235928408152719471052462022362695e-5,5.3235928408152725E-05,-5.8648434541698232553404027746524062e-21,-6.776263578034403E-21
6.107031250000001E-05,5.4122155336159154323796774914466004e-5,5.412215533615916E-05,-4.586860121776017104705646192196535e-21,-6.776263578034403E-21
6.20703125E-05,5.5008382264250592049224971665694661e-5,5.500838226425059E-05,4.8897478089636909226840398572472882e-21,6.776263578034403E-21
6.30703125E-05,5.5894609192428436739979782969823825e-5,5.589460919242844E-05,-3.1339918965158963626445561162510715e-21,0
6.40703125E-05,5.6780836120694080478090381938126723e-5,5.6780836120694086E-05,-5.3812928280528536673616033382272325e-21,-6.776263578034403E-21
6.50703125E-05,5.7667063049048915345586907082835367e-5,5.76670630490489E-05,1.4648368811881300373651742731308133e-20,1.3552527156068805E-20
6.60703125E-05,5.8553289977494333424500477623882471e-5,5.855328997749432E-05,1.2469145599213123415124688434783063e-20,1.3552527156068805E-20
6.707031249999999E-05,5.94395169060317267968632087956434e-5,5.943951690603172E-05,4.5815633081932401733712559986330177e-21,6.776263578034403E-21
6.80703125E-05,6.0325743834662499555322744500518588e-5,6.032574383466249E-05,1.2720499663705897724068885563093336e-20,1.3552527156068805E-20
6.90703125E-05,6.1211970763388019760684204521976987e-5,6.121197076338802E-05,2.2601991324132035217194898090586765e-21,0
7.007031250000001E-05,6.2098197692209703516211820003250462e-5,6.20981976922097E-05,1.6989244840583335911247344727718477e-22,0
7.107031250000001E-05,6.29844246211289188827128047292344e-5,6.298442462112893E-05,-7.8473830935494707353049994918765586e-21,0
7.20703125E-05,6.3870651550147069952839002248151294e-5,6.387065155014707E-05,-5.6745568922639628761612710302388438e-23,0
7.30703125E-05,6.4756878479265548808628825322614889e-5,6.475687847926553E-05,1.9713546359961981638487978102886217e-20,2.710505431213761E-20
7.40703125E-05,6.5643105408485747532121789876876019e-5,6.564310540848575E-05,-6.5748734903335365833243267125460769e-21,0
7.50703125E-05,6.6529332337809058205358530303564796e-5,6.652933233780906E-05,-1.435098624090690416741266200365124e-21,0
7.607031249999999E-05,6.7415559267236872910380814770432825e-5,6.741555926723687E-05,4.1995613396337021085504810694870491e-21,1.3552527156068805E-20
7.707031249999999E-05,6.8301786196770583729231560527095454e-5,6.830178619677058E-05,6.5008522430022975562776796973880162e-21,0
7.80703125E-05,6.9188013126411594754569380344227201e-5,6.91880131264116E-05,9.8608467630006233585779697429547981e-23,0
7.90703125E-05,7.0074240056161274047210474772817027e-5,7.007424005616128E-05,-2.1990693928127254069477515924956117e-21,0
8.007031250000001E-05,7.0960466986021037710430363933489615e-5,7.096046698602102E-05,1.9800797106707768533469764944695332e-20,2.710505431213761E-20
8.10703125E-05,7.1846693915992253805047647758855561e-5,7.184669391599226E-05,-2.4088519771692764099538012327178196e-21,0
8.20703125E-05,7.273292084607632642372575112376251e-5,7.273292084607632E-05,7.1169854856880557494701210989181219e-21,1.3552527156068805E-20
8.30703125E-05,7.3619147776274647648514807210597377e-5,7.361914777627464E-05,3.8924810851687768660019906237471756e-21,0
8.40703125E-05,7.4505374706588609561466205430807507e-5,7.450537470658861E-05,-2.358083708333819073796123667792949e-21,0
8.50703125E-05,7.5391601637019604244632606731643203e-5,7.539160163701959E-05,1.1642101003178170297472830757675638e-20,1.3552527156068805E-20
8.607031249999999E-05,7.6277828567569023780067958902900282e-5,7.627782856756901E-05,1.4959737780269971162628525862716239e-20,1.3552527156068805E-20
8.70703125E-05,7.7164055498238272260442057036229883e-5,7.716405549823826E-05,1.5777199342946275876482510040691434e-20,1.3552527156068805E-20
8.80703125E-05,7.8050282429028717746582379873733865e-5,7.80502824290287E-05,1.3350070406999838363531385374957851e-20,1.3552527156068805E-20
